global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global
7Learnings,Aifora,Aimondo,Alpha Repricer,Aura,AvaiBook,BEONPRICE,BEONx,BQool,Beyond,BlackCurve,Boardfy,Clear Demand,Climber Hotel,Cloud Store,Competera,Competitoor,DATA SEEKERS,DPGO,Darwin Pricing,Data Bunker,Dealavo,DemandTec,Dynamic Pricing,EReprice,EVA Pricing,Eva Commerce,FLYR,GK AIR,GoalProfit,Greendeck,GrowByData,Hypersonix,ITELLIGENT,Imprice,Intelligence Node,LIXAM,Mercio,Minderest,Multiply,MyForecast,Netrivals,NextOrbit,Omnia,Optimus Price,PGP,PREXUS,PROS data science,Paarly,Pace Revenue,Panther Pricing,Patagona,Premoneo,Price Hive,Price Trakker,Price2Spy,PriceGain,PriceKit,PriceLab,PriceSearch,PriceShape,PriceTweakers,Pricechecker,Priceff,Pricefx,Priceloop,Pricemonitor,Pricemoov,Priceva,Pricing HUB,Pricing Intelligence,Pricing Lifecycle,Prisync,Q-PERIOR,Quibble,Quicklizard,RateGain,Remi AI,RepricerExpress,Resteam,Revenue AI,Revionics,RoomPriceGenie,SKYSHEEP,SYMSON,Sardio,Seller Dynamics,Seller Republic,Seller Snap,SellerActive,SellerMobile,Sellermania,Skuuudle,Smartpricing,Sniffie,Sparkbox,Sposea,Steinbeis,Stratinis,StreetPricer,Syncron,Vendrive,Verteego,Vistaar,Wheelhouse,WisePrice,XPLN,Yieldigo,Zilliant,brainbi,buynomics,dunnhumby,idealista,itim,netRetail,pVelocity,priceflo,xSellco
0,0,25,0,91,49,0,86,54,69,0,0,63,0,87,39,0,36,19,9,35,0,13,20,0,0,0,45,53,0,0,0,27,83,0,0,0,24,0,86,0,8,0,100,46,100,0,0,16,13,37,30,23,79,0,35,0,0,20,0,0,0,0,0,48,0,38,0,0,65,34,16,53,32,40,59,51,0,0,0,33,0,0,0,31,27,0,48,0,0,28,0,0,0,19,0,0,100,0,0,66,0,43,69,95,0,31,0,18,0,0,78,93,27,36,22,0,0
0,0,14,0,86,48,0,65,40,67,0,0,54,0,85,0,32,25,0,9,0,25,14,21,0,9,30,49,52,92,0,0,19,25,0,0,0,42,27,77,58,6,0,96,37,95,0,0,0,33,0,31,0,76,89,11,0,0,0,0,0,69,0,0,0,0,49,0,35,38,21,14,38,0,32,0,52,40,0,29,38,0,0,74,28,51,0,55,19,0,0,32,39,0,23,0,100,79,0,42,49,0,0,62,79,0,0,0,16,0,0,78,92,24,0,0,0,60
0,0,24,0,82,48,0,30,23,66,0,0,59,0,91,0,48,91,30,8,14,100,13,23,64,9,54,48,57,0,26,0,20,0,0,55,0,18,29,81,0,7,55,89,59,96,0,22,0,15,0,26,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,62,45,23,21,0,35,47,63,20,0,17,38,0,0,27,0,0,0,62,35,0,76,0,0,45,39,0,0,86,33,0,53,0,19,48,94,7,0,0,30,0,0,70,90,24,0,0,59,43
0,0,27,0,82,39,68,54,42,64,0,0,60,0,92,0,0,0,0,0,56,0,0,17,0,12,0,43,53,0,0,0,44,59,0,36,0,22,46,74,0,5,0,94,52,91,32,0,74,26,0,31,0,75,21,0,19,26,72,0,49,0,8,0,49,0,0,0,0,72,34,43,52,23,36,95,91,41,31,18,28,0,0,41,0,0,37,39,64,42,0,0,73,0,5,21,0,63,0,42,73,0,0,56,85,0,0,0,0,0,0,51,89,27,52,0,0,57
0,0,0,53,78,80,0,12,19,68,18,0,36,0,87,0,0,20,22,0,19,0,0,21,0,0,0,49,61,0,35,0,48,0,0,17,24,26,20,68,0,12,0,95,25,95,0,28,0,76,76,32,0,88,0,17,0,0,0,0,0,0,15,0,36,0,0,0,65,74,38,0,27,25,29,40,75,21,0,20,26,0,0,0,40,29,42,36,29,0,94,0,0,47,40,0,0,69,0,0,58,0,0,59,89,0,0,0,45,31,0,57,90,24,100,0,0,80
0,0,14,0,81,38,21,43,16,66,0,0,35,0,85,0,0,55,8,25,31,56,0,18,0,6,0,55,32,0,0,0,46,100,0,52,0,100,27,62,0,8,27,95,28,93,0,0,0,0,0,35,74,71,0,8,0,0,0,0,100,0,0,0,0,0,0,13,74,44,63,0,0,0,23,0,70,0,0,0,10,0,32,0,68,16,0,32,93,50,0,0,0,0,45,33,0,74,0,90,53,0,55,56,80,0,0,17,32,44,41,56,93,23,0,0,0,60
0,52,100,0,82,72,37,73,50,65,7,0,40,0,90,0,0,31,0,14,16,0,0,16,0,28,0,54,65,100,23,0,29,0,0,100,0,30,0,66,71,7,0,100,36,98,57,23,0,42,73,9,43,58,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,44,47,0,60,42,27,43,53,29,49,0,20,100,0,0,46,62,0,0,0,57,35,40,0,0,41,25,0,61,0,0,58,0,0,87,96,10,0,8,48,0,0,47,92,24,0,0,0,39
0,0,28,0,82,81,0,0,19,72,0,0,55,0,94,0,0,100,13,18,13,0,0,13,0,7,0,55,56,0,35,0,27,0,47,56,0,21,0,65,0,0,0,94,34,97,32,14,63,30,0,39,0,86,28,18,0,0,26,0,0,0,0,0,0,0,0,24,0,41,17,55,0,0,23,0,51,48,0,0,40,0,0,100,27,20,37,33,0,0,0,0,0,52,37,0,0,46,0,0,59,0,21,65,100,0,0,0,53,0,0,72,89,24,0,0,0,92
0,84,0,0,82,8,0,64,42,68,0,0,41,0,89,0,0,83,0,0,0,0,16,24,31,0,82,58,94,0,0,26,0,43,0,17,0,31,32,61,50,10,58,93,31,94,0,0,0,24,0,34,0,76,29,0,0,0,0,0,0,0,0,0,57,22,0,100,0,77,39,19,57,47,29,52,37,0,0,0,33,40,0,0,0,46,53,30,0,28,0,44,45,0,9,0,0,99,0,0,44,0,0,51,87,0,0,0,61,0,0,70,92,22,32,0,0,0
